,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
82,Uchuu no Stellvia,Stellvia,宇宙のステルヴィア,TV,Original,Starchild Records,Mecha,Xebec,26.0,23 min per ep,PG-13 - Teens 13 or older,7.44,7477.0,1895.0,3017.0,114.0,Thursdays at 01:00 (JST),Spring,2003
83,Sakigake!! Cromartie Koukou,Cromartie High School,魁!! クロマティ高校,TV,Manga,TV Tokyo Music,Comedy,Production I.G,26.0,12 min per ep,PG-13 - Teens 13 or older,7.99,36280.0,587.0,1039.0,1372.0,Fridays at Unknown,Fall,2003
84,El Hazard: The Alternative World,Another dimension of the world Elhazard,異次元の世界エルハザード,TV,Original,Pioneer LDC,Fantasy,AIC,13.0,25 min per ep,PG-13 - Teens 13 or older,6.9,3851.0,4011.0,4253.0,9.0,Thursdays at 01:15 (JST),Winter,1998
85,El Hazard: The Wanderers,El-Hazard: The Wanderers,神秘の世界エルハザード,TV,Original,TV Tokyo,Fantasy,AIC,26.0,23 min per ep,PG-13 - Teens 13 or older,7.04,5131.0,3509.0,3674.0,33.0,Fridays at 18:30 (JST),Fall,1995
88,Final Approach,φ Naru / Aporochi,φなる・あぷろーち,TV,Visual novel,Trinet Entertainment,Comedy,Zexcs,13.0,14 min per ep,PG-13 - Teens 13 or older,6.63,14922.0,5212.0,2362.0,45.0,Unknown,Fall,2004
89,Fruits Basket,Fruits Basket,フルーツバスケット,TV,Manga,TV Tokyo,Slice of Life,Studio Deen,26.0,24 min per ep,PG-13 - Teens 13 or older,7.77,175617.0,951.0,244.0,7892.0,Thursdays at 18:00 (JST),Summer,2001
90,Fullmetal Alchemist,Fullmetal Alchemist,鋼の錬金術師,TV,Manga,Aniplex,Shounen,Bones,51.0,24 min per ep,PG-13 - Teens 13 or older,8.28,524986.0,268.0,27.0,22764.0,Saturdays at 18:00 (JST),Fall,2003
91,Full Moon wo Sagashite,Searching for the Full Moon,満月をさがして,TV,Manga,Nihon Ad Systems,Drama,Studio Deen,52.0,24 min per ep,PG-13 - Teens 13 or older,8.04,32470.0,508.0,1241.0,1628.0,Saturdays at 07:30 (JST),Spring,2002
92,Fushigi Yuugi,Mysterious Play,ふしぎ遊戯,TV,Manga,TV Tokyo,Magic,Studio Pierrot,52.0,23 min per ep,PG-13 - Teens 13 or older,7.75,35246.0,989.0,1197.0,2027.0,Thursdays at 18:00 (JST),Spring,1995
94,Futakoi,Twin Love,双恋,TV,Original,Lantis,School,Telecom Animation Film,13.0,24 min per ep,PG-13 - Teens 13 or older,6.57,13132.0,5480.0,2389.0,19.0,Unknown,Fall,2004
95,Futakoi Alternative,Futako Alternative,フタコイ オルタナティブ,TV,Original,Lantis,Comedy,ufotable,13.0,24 min per ep,PG-13 - Teens 13 or older,6.98,9636.0,3729.0,2520.0,64.0,Unknown,Spring,2005
96,Gate Keepers,Gatekeepers,ゲートキーパーズ,TV,Game,Media Factory,Shounen,Gonzo,24.0,25 min per ep,PG-13 - Teens 13 or older,7.04,7175.0,3511.0,3125.0,55.0,Unknown,Spring,2000
98,Gensoumaden Saiyuuki,Saiyuki,幻想魔伝 最遊記,TV,Manga,TV Tokyo,Comedy,Studio Pierrot,50.0,23 min per ep,R - 17+ (violence & profanity),7.67,15344.0,1183.0,1943.0,772.0,Tuesdays at 18:30 (JST),Spring,2000
99,Saiyuuki Reload,Saiyuki Reload,最遊記RELOAD,TV,Manga,,Comedy,Studio Pierrot,25.0,23 min per ep,PG-13 - Teens 13 or older,7.5,9345.0,1677.0,2648.0,102.0,Unknown,Fall,2003
100,Saiyuuki Reload Gunlock,Saiyuki Gunlock,最遊記RELOAD GUNLOCK,TV,Manga,,Adventure,Studio Pierrot,26.0,24 min per ep,PG-13 - Teens 13 or older,7.51,6086.0,1645.0,3187.0,45.0,Unknown,Spring,2004
101,GetBackers,Getbackers,ゲットバッカーズ　奪還屋,TV,Manga,TBS,Comedy,Studio Deen,49.0,24 min per ep,PG-13 - Teens 13 or older,7.68,38643.0,1152.0,1043.0,847.0,Saturdays at 17:30 (JST),Fall,2002
102,Green Green,Green Green,グリーングリーン,TV,Visual novel,Pony Canyon,Romance,Studio Matrix,12.0,24 min per ep,R+ - Mild Nudity,6.34,55059.0,6465.0,1001.0,250.0,Unknown,Summer,2003
103,Gunslinger Girl,Gunslinger Girl,ガンスリンガー・ガール,TV,Manga,Marvelous,Drama,Madhouse,13.0,24 min per ep,R - 17+ (violence & profanity),7.5,57472.0,1662.0,702.0,1040.0,Unknown,Fall,2003
104,Hikaru no Go,Hikaru no Go,ヒカルの碁,TV,Manga,TV Tokyo,Shounen,Studio Pierrot,75.0,23 min per ep,PG-13 - Teens 13 or older,8.16,41770.0,365.0,1054.0,1883.0,Unknown,Fall,2001
